GDP,Population,Energy_consumption,per_capita_production,Energy_intensity_by_GDP,balance,energy_dependecy,use_intensity_pc,co2_pc,clusters,energy_type,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America
1601.001,45472.8,0.065,49.026,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
1601.001,45472.8,1.62,49.026,0.0,3.081,0.001,0.0,0.002,2,3,1.0,0.0,0.0,0.0,0.0,0.0
1601.001,45472.8,0.041,49.026,0.0,-0.012,0.0,0.0,0.0,1,4,1.0,0.0,0.0,0.0,0.0,0.0
58.587,47347.2,0.04,50.86,0.0,-0.01,0.001,0.0,0.0,1,4,1.0,0.0,0.0,0.0,0.0,0.0
58.587,47347.2,0.634,50.86,0.0,0.0,0.011,0.0,0.001,0,2,1.0,0.0,0.0,0.0,0.0,0.0
1646.46,47347.2,0.066,50.86,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
1646.46,47347.2,1.669,50.86,0.0,3.184,0.001,0.0,0.002,2,3,1.0,0.0,0.0,0.0,0.0,0.0
62.792,49260.3,0.04,49.186,0.0,-0.005,0.001,0.0,0.0,1,4,1.0,0.0,0.0,0.0,0.0,0.0
3348.992,49260.3,0.064,49.186,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
3348.992,49260.3,1.753,49.186,0.0,2.644,0.001,0.0,0.002,2,3,1.0,0.0,0.0,0.0,0.0,0.0
3348.992,49260.3,0.566,49.186,0.0,0.0,0.0,0.0,0.001,0,2,1.0,0.0,0.0,0.0,0.0,0.0
66.52,51193.8,0.597,49.453,0.0,0.0,0.009,0.0,0.001,0,2,1.0,0.0,0.0,0.0,0.0,0.0
1745.515,51193.8,0.066,49.453,0.0,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
1745.515,51193.8,1.83,49.453,0.0,3.141,0.001,0.0,0.002,2,3,1.0,0.0,0.0,0.0,0.0,0.0
1745.515,51193.8,0.039,49.453,0.0,-0.008,0.0,0.0,0.0,1,4,1.0,0.0,0.0,0.0,0.0,0.0
388.322,53077.3,0.066,50.914,6.959,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
388.322,53077.3,1.849,50.914,6.959,3.01,0.005,0.0,0.002,2,3,1.0,0.0,0.0,0.0,0.0,0.0
388.322,53077.3,0.747,50.914,6.959,0.0,0.002,0.0,0.001,0,2,1.0,0.0,0.0,0.0,0.0,0.0
388.322,53077.3,0.04,50.914,6.959,-0.011,0.0,0.0,0.0,1,4,1.0,0.0,0.0,0.0,0.0,0.0
412.312,54822.0,0.03,54.12,7.196,0.001,0.0,0.0,0.0,1,4,1.0,0.0,0.0,0.0,0.0,0.0
412.312,54822.0,0.069,54.12,7.196,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
412.312,54822.0,2.039,54.12,7.196,4.043,0.005,0.0,0.002,2,3,1.0,0.0,0.0,0.0,0.0,0.0
412.312,54822.0,0.829,54.12,7.196,0.0,0.002,0.0,0.001,0,2,1.0,0.0,0.0,0.0,0.0,0.0
468.749,56366.2,0.03,53.431,6.425,0.002,0.0,0.0,0.0,1,4,1.0,0.0,0.0,0.0,0.0,0.0
468.749,56366.2,0.063,53.431,6.425,0.0,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
468.749,56366.2,2.111,53.431,6.425,4.581,0.005,0.0,0.003,2,3,1.0,0.0,0.0,0.0,0.0,0.0
468.749,56366.2,0.807,53.431,6.425,0.056,0.002,0.0,0.001,0,2,1.0,0.0,0.0,0.0,0.0,0.0
527.785,57679.0,0.044,55.873,6.106,-0.02,0.0,0.0,0.0,1,4,1.0,0.0,0.0,0.0,0.0,0.0
